Datetime,HourlyFlow,meanspeed
2019-12-02 06:15:00,757,101.91809775429326
2019-12-02 06:30:00,1300,91.19307692307693
2019-12-02 06:45:00,1298,82.04314329738058
2019-12-02 07:00:00,1340,77.41119402985075
2019-12-02 07:15:00,1325,68.69132075471698
2019-12-02 07:30:00,1192,70.16275167785236
2019-12-02 07:45:00,1320,67.0840909090909
2019-12-02 08:00:00,1260,67.31825396825397
2019-12-02 08:15:00,1227,67.31295843520782
2019-12-02 08:30:00,1270,66.61102362204724
2019-12-02 08:45:00,1046,49.897705544933075
2019-12-02 09:00:00,1011,49.768545994065285
2019-12-02 09:15:00,1136,65.16637323943662
2019-12-02 09:30:00,1202,72.27371048252911
2019-12-02 09:45:00,1136,89.8274647887324
2019-12-02 10:00:00,1045,93.65933014354067
2019-12-02 10:15:00,857,97.37456242707118
2019-12-02 10:30:00,867,97.280276816609
2019-12-02 10:45:00,842,99.95724465558195
2019-12-02 11:00:00,793,99.3139974779319
2019-12-02 11:15:00,829,100.98793727382389
2019-12-02 11:30:00,806,100.5210918114144
2019-12-02 11:45:00,792,100.84848484848484
2019-12-02 12:00:00,777,100.16988416988417
2019-12-02 12:15:00,731,100.50068399452805
2019-12-02 12:30:00,834,100.79016786570743
2019-12-02 12:45:00,778,101.91131105398458
2019-12-02 13:00:00,729,102.30315500685872
2019-12-02 13:15:00,839,102.00238379022646
2019-12-02 13:30:00,799,101.9424280350438
2019-12-02 13:45:00,808,103.52722772277228
2019-12-02 14:00:00,813,102.16974169741698
2019-12-02 14:15:00,812,99.45073891625616
2019-12-02 14:30:00,829,99.67310012062727
2019-12-02 14:45:00,784,100.85841836734694
2019-12-02 15:00:00,836,100.05382775119617
2019-12-02 15:15:00,916,99.92030567685589
2019-12-02 15:30:00,777,102.6962676962677
2019-12-02 15:45:00,806,101.60545905707195
2019-12-02 16:00:00,861,100.4959349593496
2019-12-02 16:15:00,1058,95.35538752362949
2019-12-02 16:30:00,1103,94.0353581142339
2019-12-02 16:45:00,1128,90.3040780141844
2019-12-02 17:00:00,1135,86.9647577092511
2019-12-02 17:15:00,1103,90.13871260199456
2019-12-02 17:30:00,1158,85.67012089810017
2019-12-02 17:45:00,909,95.2981298129813
2019-12-02 18:00:00,867,96.55017301038062
2019-12-02 18:15:00,812,97.85714285714286
2019-12-02 18:30:00,739,100.28552097428958
2019-12-02 18:45:00,706,100.21671388101983
2019-12-02 19:00:00,839,96.87485101311084
2019-12-02 19:15:00,838,97.8508353221957
2019-12-02 19:30:00,749,98.94926568758345
2019-12-02 19:45:00,681,100.20558002936858
2019-12-02 20:00:00,539,101.06493506493507
2019-12-02 20:15:00,500,102.52
2019-12-02 20:30:00,387,103.23514211886305
2019-12-02 20:45:00,367,104.22888283378747
2019-12-02 21:00:00,351,101.87464387464388
2019-12-02 21:15:00,365,103.34794520547945
2019-12-02 21:30:00,301,102.91362126245848
2019-12-02 21:45:00,290,103.5896551724138
2019-12-02 22:00:00,239,104.4602510460251
2019-12-02 22:15:00,237,103.88185654008439
2019-12-02 22:30:00,207,104.77777777777777
2019-12-02 22:45:00,144,104.38888888888889
2019-12-02 23:00:00,124,104.66129032258064
2019-12-02 23:15:00,96,106.19791666666667
2019-12-02 23:30:00,86,105.86046511627907
2019-12-02 23:45:00,68,103.98529411764706
2019-12-03 00:00:00,60,104.41666666666667
2019-12-03 00:15:00,62,103.56451612903226
2019-12-03 00:30:00,52,100.25
2019-12-03 00:45:00,41,104.53658536585365
